sample_name	ampicillin_RIS	ciprofloxacin_RIS	clindamycin_RIS	daptomycin_RIS	doxycycline_RIS	erythromycin_RIS	gentamicin_RIS	kanamycin_RIS	linezolid_RIS	quinupristin_dalfopristin_RIS	streptomycin_RIS	teicoplanin_RIS	tetracycline_RIS	tigecycline_RIS	vancomycin_RIS
ERR369939	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR369940	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR369941	I/R	NA	S	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR369944	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR369945	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR369946	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR369951	I/R	NA	S	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR369954	I/R	NA	S	NA	NA	I/R	S	I/R	S	S	I/R	I/R	S	S	I/R
ERR369955	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR369956	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR369957	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR369958	I/R	NA	S	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR369962	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR369964	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR369965	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	I/R	I/R	S	S	I/R
ERR369966	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR369967	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	I/R	I/R	S	S	I/R
ERR369969	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	S	S	I/R	S	I/R
ERR369971	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR369972	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR369974	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR369976	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR369978	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR369980	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR369981	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR369982	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR369983	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR369985	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR369988	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	S	I/R	I/R	S	I/R
ERR369990	I/R	NA	S	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR369991	I/R	NA	S	NA	NA	I/R	I/R	S	S	S	S	I/R	I/R	S	I/R
ERR369992	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR369993	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR369995	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR369996	I/R	NA	S	NA	NA	I/R	I/R	S	S	S	S	I/R	I/R	S	I/R
ERR369998	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR369999	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR370000	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR370001	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR370003	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR370004	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR370005	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR370007	I/R	NA	S	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR370008	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR370011	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR370012	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR370013	I/R	NA	S	NA	NA	I/R	S	I/R	S	S	I/R	I/R	S	S	I/R
ERR370015	I/R	NA	S	NA	NA	I/R	S	I/R	S	S	I/R	S	I/R	S	I/R
ERR370018	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR370019	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR370020	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR370021	I/R	NA	S	NA	NA	I/R	S	I/R	S	S	I/R	S	I/R	S	I/R
ERR370022	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR370023	I/R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR370024	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR370025	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	S	S	I/R
ERR370029	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	S	I/R	I/R	S	I/R
