sample_name	Year_of_sampling	Disease_onset_classification	Isolation_tissue	Capsular_serotype	Sequence_type_MLST	Clonal_complex_MLST	BAPS_clade_or_lineage	disease_onset_and_isolation_tissue
ERR1624733	1988	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1624832	1990	EOD	Blood	Ib	12	10	1	EOD_Blood
ERR1624833	1991	LOD	CSF	III	19	19	3	LOD_CSF
ERR1624834	1991	EOD	Blood	III	19	19	3	EOD_Blood
ERR1624835	1991	LOD	CSF	III	19	19	3	LOD_CSF
ERR1624838	1991	LOD	CSF	III	19	19	3	LOD_CSF
ERR1624839	1991	LOD	CSF	III	148	17	6	LOD_CSF
ERR1624840	1991	LOD	CSF	III	17	17	6	LOD_CSF
ERR1624844	1991	LOD	CSF	III	17	17	6	LOD_CSF
ERR1624847	1991	LOD	Blood	III	1602	10	1	LOD_Blood
ERR1624848	1991	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1624849	1991	LOD	CSF	III	17	17	6	LOD_CSF
ERR1624850	1991	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1624851	1991	EOD	Blood	V	19	19	3	EOD_Blood
ERR1624744	1988	LOD	Blood	Ia	23	23	4	LOD_Blood
ERR1624852	1991	EOD	Blood	Ia	24	23	4	EOD_Blood
ERR1624853	1991	LOD	Blood	Ib	9	10	1	LOD_Blood
ERR1624854	1991	EOD	Blood	Ia	24	23	4	EOD_Blood
ERR1624855	1991	LOD	CSF	III	109	17	6	LOD_CSF
ERR1624856	1991	EOD	Blood	III	17	17	6	EOD_Blood
ERR1624857	1991	LOD	Blood	Ib	10	10	1	LOD_Blood
ERR1624859	1991	EOD	Blood	III	19	19	3	EOD_Blood
ERR1624860	1991	LOD	CSF	III	19	19	3	LOD_CSF
ERR1624861	1991	EOD	Blood	Ib	10	10	1	EOD_Blood
ERR1624862	1991	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1624863	1991	EOD	CSF	Ia	23	23	4	EOD_CSF
ERR1624864	1991	LOD	CSF	III	17	17	6	LOD_CSF
ERR1624865	1991	EOD	Blood	Ib	10	10	1	EOD_Blood
ERR1624867	1992	LOD	CSF	III	19	19	3	LOD_CSF
ERR1624868	1992	LOD	CSF	III	19	19	3	LOD_CSF
ERR1624869	1992	EOD	CSF	Ib	1589	10	1	EOD_CSF
ERR1624870	1992	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1624871	1992	LOD	CSF	III	17	17	6	LOD_CSF
ERR1624746	1988	LOD	CSF	III	19	19	3	LOD_CSF
ERR1624873	1992	EOD	Blood	II	19	19	3	EOD_Blood
ERR1624874	1992	EOD	Blood	Ib	12	10	1	EOD_Blood
ERR1624875	1992	EOD	Blood	II	2	1	2	EOD_Blood
ERR1624876	1992	EOD	Blood	II	19	19	3	EOD_Blood
ERR1624877	1992	LOD	CSF	III	17	17	6	LOD_CSF
ERR1624878	1992	LOD	CSF	III	19	19	3	LOD_CSF
