sample_name	HOST	Instrument	Collection_month	species_paper_subset	State	Premises	isolation_source_cleaned	cleaned_host	binary_host
SRR29953194	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29953195	Cattle	Illumina iSeq 100	NA	NA	NA	NA	milk	cattle	cattle
SRR29953196	Cattle	Illumina iSeq 100	NA	NA	NA	NA	milk	cattle	cattle
SRR29953197	Cattle	Illumina iSeq 100	NA	NA	NA	NA	milk	cattle	cattle
SRR29953198	Chicken	Illumina iSeq 100	NA	NA	NA	NA	swab	chicken	bird
SRR29953199	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29953200	Chicken	Illumina iSeq 100	NA	NA	NA	NA	swab	chicken	bird
SRR29953201	Chicken	Illumina iSeq 100	NA	NA	NA	NA	swab	chicken	bird
SRR29953202	Chicken	Illumina iSeq 100	NA	NA	NA	NA	swab	chicken	bird
SRR29953203	Cattle	Illumina iSeq 100	NA	NA	NA	NA	milk	cattle	cattle
SRR29953204	Cattle	Illumina iSeq 100	NA	NA	NA	NA	milk	cattle	cattle
SRR29953205	Cattle	Illumina iSeq 100	NA	NA	NA	NA	milk	cattle	cattle
SRR29953206	Cattle	Illumina iSeq 100	NA	NA	NA	NA	milk	cattle	cattle
SRR29953207	Cattle	Illumina iSeq 100	NA	NA	NA	NA	milk	cattle	cattle
SRR29953208	Cattle	Illumina iSeq 100	NA	NA	NA	NA	milk	cattle	cattle
SRR29953209	Cattle	Illumina iSeq 100	NA	NA	NA	NA	milk	cattle	cattle
SRR29953210	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29953211	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29953212	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29953213	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29953214	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29953215	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29953216	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29953217	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29953218	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29953219	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29953220	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29953221	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29953222	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29953223	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29953224	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29953225	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29953226	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29953227	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29953228	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29953229	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29953230	Chicken	NextSeq 2000	NA	NA	NA	NA	swab	chicken	bird
SRR29953231	Chicken	NextSeq 2000	NA	NA	NA	NA	swab	chicken	bird
SRR29953232	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29953233	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29953234	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29953235	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29953236	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29953237	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29953238	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29953239	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29953240	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29953241	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29953242	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29953243	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29953244	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29953245	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29953246	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29953247	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29953248	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29953249	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29953250	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29953251	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29953252	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
