sample_name	strain	Antibiotic	LTEE_parent
SRR12340679	KJC75	TET	Ara–6
SRR12340680	KJC74	TET	Ara–5
SRR12340681	KJC61	TET	Ancestor
SRR12340682	KJC60	TET	Ancestor
SRR12340683	KJC73	TET	AraPLUS5
SRR12340684	KJC72	TET	AraPLUS4
SRR12340685	KJC67	TET	Ara–6
SRR12340686	KJC235	CRO	Ara–6
SRR12340687	KJC234	CRO	Ara–5
SRR12340688	KJC233	CRO	AraPLUS5
SRR12340689	KJC232	CRO	AraPLUS4
SRR12340690	KJC66	TET	Ara–5
SRR12340691	KJC227	CRO	Ara–6
SRR12340692	KJC226	CRO	Ara–5
SRR12340693	KJC225	CRO	AraPLUS5
SRR12340694	KJC224	CRO	AraPLUS4
SRR12340695	KJC219	CRO	Ara–6
SRR12340696	KJC218	CRO	Ara–5
SRR12340697	KJC217	CRO	AraPLUS5
SRR12340698	KJC216	CRO	AraPLUS4
SRR12340699	KJC215	CRO	Ancestor
SRR12340700	KJC214	CRO	Ancestor
SRR12340701	KJC65	TET	AraPLUS5
SRR12340702	KJC213	CRO	Ancestor
SRR12340703	KJC212	CRO	Ancestor
SRR12340704	KJC187	CIP	Ara–6
SRR12340705	KJC186	CIP	Ara–5
SRR12340706	KJC185	CIP	AraPLUS5
SRR12340707	KJC184	CIP	AraPLUS4
SRR12340708	KJC163	CIP	Ara–6
SRR12340709	KJC162	CIP	Ara–5
SRR12340710	KJC161	CIP	AraPLUS5
SRR12340711	KJC160	CIP	AraPLUS4
SRR12340712	KJC64	TET	AraPLUS4
SRR12340713	KJC155	CIP	Ara–6
SRR12340714	KJC154	CIP	Ara–5
SRR12340715	KJC153	CIP	AraPLUS5
SRR12340716	KJC152	CIP	AraPLUS4
SRR12340717	KJC151	CIP	Ancestor
SRR12340718	KJC150	CIP	Ancestor
SRR12340719	KJC149	CIP	Ancestor
SRR12340720	KJC148	CIP	Ancestor
SRR12340721	KJC131	AMP	Ara–6
SRR12340722	KJC130	AMP	Ara–5
SRR12340723	KJC63	TET	Ancestor
SRR12340724	KJC129	AMP	AraPLUS5
SRR12340725	KJC128	AMP	AraPLUS4
SRR12340726	KJC123	AMP	Ara–6
SRR12340727	KJC122	AMP	Ara–5
SRR12340728	KJC121	AMP	AraPLUS5
SRR12340729	KJC120	AMP	AraPLUS4
SRR12340730	KJC115	AMP	Ara–6
SRR12340731	KJC114	AMP	Ara–5
SRR12340732	KJC113	AMP	AraPLUS5
SRR12340733	KJC112	AMP	AraPLUS4
SRR12340734	KJC62	TET	Ancestor
SRR12340735	KJC111	AMP	Ancestor
SRR12340736	KJC110	AMP	Ancestor
SRR12340737	KJC109	AMP	Ancestor
SRR12340738	KJC108	AMP	Ancestor
SRR12340739	KJC83	TET	Ara–6
SRR12340740	KJC82	TET	Ara–5
SRR12340741	KJC81	TET	AraPLUS5
SRR12340742	KJC80	TET	AraPLUS4
