sample_name	FZ_MIC	FZ_binary	AMB_MIC	AMB_binary
SRR10461126	16	0	0.5	0
SRR10461176	256	1	0.008	0
SRR10461177	256	1	0.5	0
SRR13292041	4	0	4	1
SRR25583550	256	1	0.75	0
SRR25583551	64	1	0.5	0
SRR25583552	8	0	0.25	0
SRR25583553	4	0	1	0
SRR25583554	32	1	0.5	0
SRR25583555	256	1	0.5	0
SRR25583556	256	1	0.5	0
SRR25583557	32	1	0.25	0
SRR25583558	32	1	0.5	0
SRR25583559	4	0	2	1
SRR25583560	32	1	0.5	0
SRR25583561	256	1	0.75	0
SRR25583562	256	1	0.75	0
SRR25583563	8	0	0.5	0
SRR25583564	256	1	0.38	0
SRR25583565	256	1	0.38	0
SRR25583566	256	1	0.38	0
SRR25583567	256	1	0.25	0
SRR25583568	256	1	0.38	0
SRR25583569	256	1	0.75	0
SRR25583570	8	0	0.5	0
SRR25583571	128	1	0.75	0
SRR25583572	16	0	1	0
SRR25583573	256	1	0.75	0
SRR25583574	256	1	0.38	0
SRR25583575	256	1	0.38	0
SRR25583576	256	1	0.5	0
SRR25583577	256	1	0.5	0
SRR25583578	256	1	0.75	0
SRR25583579	256	1	0.5	0
SRR25583580	32	1	1	0
SRR25583581	32	1	0.75	0
SRR25583582	64	1	0.5	0
SRR25583583	16	0	2	1
SRR25583584	128	1	0.38	0
SRR25583585	8	0	0.75	0
SRR25583586	16	0	1.5	0
SRR25583587	8	0	1.5	0
SRR25583588	32	1	0.5	0
SRR25583589	32	1	0.38	0
SRR25583590	32	1	0.38	0
SRR25583591	16	0	0.75	0
SRR25583592	128	1	1	0
SRR25583593	128	1	0.75	0
SRR25583594	128	1	1	0
SRR25583595	64	1	1	0
SRR25583596	8	0	2	1
SRR25583597	256	1	1	0
SRR25583598	4	0	1.5	0
SRR25583599	32	1	0.38	0
SRR25583600	64	1	0.38	0
SRR25583601	256	1	0.5	0
SRR25583602	16	0	0.75	0
SRR25583603	16	0	2	1
SRR25583604	128	1	0.5	0
SRR25583605	256	1	0.5	0
SRR25583606	8	0	4	1
SRR25583607	16	0	0.19	0
SRR25583608	16	0	0.19	0
SRR25583609	64	1	0.5	0
SRR25583610	8	0	3	1
SRR25583611	256	1	0.5	0
SRR25583612	256	1	0.5	0
SRR25583613	256	1	0.5	0
SRR25583614	64	1	0.38	0
SRR25583615	8	0	1.5	0
SRR25583616	256	1	0.38	0
SRR25583617	256	1	0.5	0
SRR25583618	8	0	0.38	0
SRR25583619	8	0	0.5	0
SRR25583620	2	0	1.5	0
SRR25583621	16	0	0.75	0
SRR25583622	64	1	0.75	0
SRR25583623	256	1	0.5	0
SRR25583624	8	0	0.5	0
SRR25583625	64	1	0.5	0
SRR25583626	256	1	0.5	0
SRR25583627	256	1	0.5	0
SRR25583628	64	1	1	0
SRR25583629	64	1	0.38	0
SRR25583630	256	1	0.38	0
SRR25583631	256	1	0.5	0
SRR25583632	256	1	0.5	0
SRR25583633	256	1	0.25	0
SRR25583634	256	1	0.75	0
SRR25583635	128	1	0.38	0
SRR25583636	128	1	0.75	0
SRR25583637	64	1	0.75	0
SRR25583638	64	1	0.5	0
SRR25583639	64	1	0.25	0
SRR25583640	256	1	0.38	0
SRR25583641	32	1	0.5	0
SRR25583642	32	1	0.5	0
SRR25583643	64	1	0.75	0
SRR25583644	64	1	0.5	0
SRR25583645	4	0	2	1
SRR25583646	4	0	4	1
SRR25583647	64	1	1	0
SRR25583648	128	1	0.75	0
SRR7140001	8	0	0.38	0
SRR7140002	16	0	0.38	0
SRR7140004	16	0	0.5	0
SRR7140005	4	0	3	1
SRR7140006	32	1	0.5	0
SRR7140007	8	0	0.5	0
SRR7140009	32	1	0.5	0
SRR7140010	16	0	0.38	0
SRR7140011	4	0	2	1
SRR7140012	16	0	0.38	0
SRR7140013	8	0	0.5	0
SRR7140014	4	0	2	1
SRR7140015	8	0	0.38	0
SRR7140016	4	0	1	0
SRR7140017	8	0	0.5	0
SRR7140019	1	0	2	1
SRR7140020	16	0	0.5	0
SRR7140021	8	0	2	1
SRR7140022	8	0	0.38	0
SRR7140023	2	0	0.75	0
SRR7140024	16	0	0.5	0
