sample_name	isolate_name	year_of_isolation	isolate_from_carriage_or_pyomyositis	pvl_presence_inferred_from_blast
SRR6346824	2012_456	2012	Carriage	0
SRR6346825	COP198	2008	Carriage	1
SRR6346826	COP1981	2008	Carriage	1
SRR6346827	COP2519	2008	Carriage	1
SRR6346828	PYO1224	2008	Pyomyositis	1
SRR6346829	COP2544	2008	Carriage	0
SRR6346830	COP693	2008	Carriage	0
SRR6346831	PYO356	2007	Pyomyositis	1
SRR6346832	COP1152	2008	Carriage	1
SRR6346833	COP1021	2008	Carriage	0
SRR6346834	PYO757	2007	Pyomyositis	1
SRR6346835	COP255	2008	Carriage	1
SRR6346836	2012_971.1	2012	Carriage	0
SRR6346837	COP1706	2008	Carriage	0
SRR6346838	2012_428	2012	Carriage	0
SRR6346839	2012_449	2012	Carriage	0
SRR6346840	2012_770	2012	Carriage	0
SRR6346841	2012_544	2012	Carriage	0
SRR6346842	2012_162	2012	Carriage	0
SRR6346843	2012_977	2012	Carriage	1
SRR6346844	COP1884	2008	Carriage	0
SRR6346845	2012_515	2012	Carriage	0
SRR6346846	PYO1354	2009	Pyomyositis	1
SRR6346847	COP727	2008	Carriage	1
SRR6346848	COP2291	2008	Carriage	1
SRR6346849	COP357	2008	Carriage	0
SRR6346850	2012_231	2012	Carriage	1
SRR6346851	PYO782	2007	Pyomyositis	1
SRR6346852	COP1632	2008	Carriage	0
SRR6346853	PYO353	2007	Pyomyositis	1
SRR6346854	2012_986	2012	Carriage	0
SRR6346855	2012_100	2012	Carriage	0
SRR6346856	2012_368	2012	Carriage	1
SRR6346857	COP2179	2008	Carriage	0
SRR6346858	COP1621	2008	Carriage	0
SRR6346859	2012_62	2012	Carriage	0
SRR6346860	PYO2095	2010	Pyomyositis	1
SRR6346861	COP723	2008	Carriage	0
SRR6346862	COP2175	2008	Carriage	0
SRR6346863	COP932	2008	Carriage	0
SRR6346864	2012_417	2012	Carriage	0
SRR6346865	2012_988	2012	Carriage	0
SRR6346866	2012_839	2012	Carriage	1
SRR6346867	COP601	2008	Carriage	0
SRR6346868	2012_422	2012	Carriage	0
SRR6346869	COP2051	2008	Carriage	0
SRR6346870	COP192	2008	Carriage	0
SRR6346871	COP259	2008	Carriage	0
SRR6346872	2012_336	2012	Carriage	0
SRR6346873	COP193	2008	Carriage	1
SRR6346874	COP1407	2008	Carriage	0
SRR6346875	COP548	2008	Carriage	0
SRR6346876	COP2427	2008	Carriage	1
SRR6346877	2012_800	2012	Carriage	0
SRR6346878	2012_634	2012	Carriage	0
SRR6346879	2012_951	2012	Carriage	0
SRR6346880	PYO3092	2011	Pyomyositis	1
SRR6346881	2012_25	2012	Carriage	0
