sample_name	amikacin	amoxicillin	amoxicillin.clavulanic.acid	ampicillin	ampicillin.sulbactam	azithromycin	aztreonam	cefalexin	cefalotin	cefazolin	cefepime	cefotaxime	cefotaxime.clavulanic.acid	cefotetan	cefoxitin	cefpodoxime	ceftazidime	ceftriaxone	cefuroxime	cephalothin	chloramphenicol	ciprofloxacin	colistin	doripenem	doxycycline	ertapenem	fosfomycin	gentamicin	imipenem	kanamycin	levofloxacin	meropenem	minocycline	moxifloxacin	nalidixic.acid	nitrofurantoin	norfloxacin	ofloxacin	piperacillin	piperacillin.tazobactam	streptomycin	sulbactam	sulfamethoxazole	sulfamethoxazole.trimethoprim	tetracycline	ticarcillin.clavulanic.acid	tigecycline	tobramycin	trimethoprim	trimethoprim.sulfamethoxazole
ERR4037439	NA	NA	NA	I/R	NA	NA	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	S	NA	S	NA	NA	I/R	NA	NA	NA	NA	NA	S	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	S	NA	NA	I/R
ERR4037517	NA	NA	NA	I/R	NA	NA	NA	NA	NA	NA	NA	I/R	NA	NA	NA	NA	S	NA	S	NA	NA	S	NA	NA	NA	NA	NA	S	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	S	NA	NA	I/R
ERR4037518	NA	NA	NA	I/R	NA	NA	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	S	NA	S	NA	NA	S	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	S	NA	NA	I/R
ERR4037446	NA	NA	NA	S	NA	NA	S	NA	NA	NA	NA	S	NA	NA	NA	NA	S	NA	NA	NA	NA	S	NA	NA	NA	NA	NA	S	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	S
ERR4037447	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	S	NA	S	NA	NA	S	NA	NA	NA	NA	NA	I/R	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	S	NA	NA	S
ERR4037448	NA	NA	NA	I/R	NA	NA	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	S	NA	S	NA	NA	S	NA	NA	NA	NA	NA	S	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	S
ERR4034086	NA	NA	NA	I/R	NA	NA	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	S	NA	S	NA	NA	S	NA	NA	NA	NA	NA	S	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	NA	I/R	NA	NA	NA	NA	NA	NA	S	NA	NA	S
ERR4034093	NA	NA	NA	I/R	NA	NA	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	S	NA	S	NA	NA	S	NA	NA	NA	NA	NA	S	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	S	NA	NA	S
ERR4034104	NA	NA	NA	I/R	NA	NA	NA	NA	NA	NA	NA	I/R	NA	NA	NA	NA	S	NA	I/R	NA	NA	S	NA	NA	NA	NA	NA	S	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	S	NA	NA	I/R
ERR4034126	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	S	NA	S	NA	NA	S	NA	NA	NA	NA	NA	S	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	S	NA	NA	S
