sample_name	geo_loc_name	Host	isolate	LibrarySelection	LibrarySource	isolation_source	serotype	genotype	strain	majority_hosts
SRR24839058	USA: Massachusetts	Branta canadensis	A/Canada Goose/Massachusetts/22-005893-001/2022	RT-PCR	VIRAL RNA	Swab\, Tracheal	H5N1			NA
SRR24839059	USA: Kentucky	Mareca strepera	A/Gadwall/Kentucky/22-005154-004/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			NA
SRR24839060	USA: Maine	Gallus gallus	A/Backyard bird/Maine/22-005158-001/2022	RT-PCR	VIRAL RNA	Tissue	H5N1			Gallus gallus
SRR24839061	USA: Delaware	Gallus gallus	A/Chicken/Delaware/22-005260-001/2022	RT-PCR	VIRAL RNA	Swab\, Oropharyngeal	H5N1			Gallus gallus
SRR24839062	USA: Indiana	Meleagris gallopavo	A/Turkey/Indiana/22-005289-001/2022	RT-PCR	VIRAL RNA	Swab\, Tracheal	H5N1			Meleagris gallopavo
SRR24839063	USA: Connecticut	Anas rubripes	A/American Black Duck/Connecticut/22-005313-006/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			NA
SRR24839064	USA: North Carolina	Mareca americana	A/American Wigeon/North Carolina/22-001330-015/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			NA
SRR24839065	USA: Connecticut	Anas rubripes	A/American Black Duck/Connecticut/22-005313-007/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			NA
SRR24839066	USA: Kentucky	Anas platyrhynchos	A/Mallard/Kentucky/22-005153-004/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			NA
SRR24839067	USA: New Jersey	Anas platyrhynchos	A/Mallard/New Jersey/22-005110-014/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			NA
SRR24839068	USA: New Jersey	Anas platyrhynchos	A/Mallard/New Jersey/22-005110-004/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			NA
SRR24839069	USA: New Jersey	Anas platyrhynchos	A/Mallard/New Jersey/22-005110-003/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			NA
SRR24839070	USA: South Dakota	Meleagris gallopavo	A/Turkey/South Dakota/22-010346-001/2022	RT-PCR	VIRAL RNA	swab	H5N1			Meleagris gallopavo
SRR24839071	USA: Virginia	Mareca strepera	A/Gadwall/Virginia/22-003923-001/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			NA
SRR24839072	USA: North Carolina	Meleagris gallopavo	A/Turkey/North Carolina/22-010448-001/2022	RT-PCR	VIRAL RNA	swab	H5N1			Meleagris gallopavo
SRR24839073	USA: Montana	Gallus gallus	A/Backyard bird/Montana/22-010445-003/2022	RT-PCR	VIRAL RNA	Swab\, Cloacal	H5N1			Gallus gallus
SRR24839074	USA: Montana	Gallus gallus	A/Backyard bird/Montana/22-010445-001/2022	RT-PCR	VIRAL RNA	Swab\, Cloacal	H5N1			Gallus gallus
SRR24839075	USA: Nebraska	Pelecanidae sp.	A/Pelican/Nebraska/22-010426-001/2022	RT-PCR	VIRAL RNA	Swab\, Cloacal	H5N1			NA
SRR24839076	USA: Vermont	Haliaeetus leucocephalus	A/Bald Eagle/Vermont/22-010414-001/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			NA
SRR24839077	USA: Wyoming	Gallus gallus	A/Backyard bird/Wyoming/22-010378-001/2022	RT-PCR	VIRAL RNA	Swab\, Oropharyngeal	H5N1			Gallus gallus
SRR24839078	USA: Colorado	Branta canadensis	A/Canada Goose/Colorado/22-010377-001/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			NA
SRR24839079	USA: South Dakota	Anser caerulescens	A/Snow Goose/South Dakota/22-010375-007/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			Anser caerulescens
SRR24839080	USA: Delaware	Spatula clypeata	A/Northern Shoveler/Delaware/22-003933-001/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			NA
SRR24839081	USA: North Carolina	Mareca americana	A/American Wigeon/North Carolina/22-001330-009/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			NA
SRR24839082	USA: South Dakota	Anser caerulescens	A/Snow Goose/South Dakota/22-010375-005/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			Anser caerulescens
SRR24839083	USA: Wyoming	Branta canadensis	A/Canada Goose/Wyoming/22-010373-001/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			NA
SRR24839084	USA: North Carolina	Anas platyrhynchos	A/Mallard/North Carolina/22-004008-006/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			NA
SRR24839085	USA: Florida	Coragyps atratus	A/Black Vulture/Florida/22-010358-004/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			NA
SRR24839086	USA: Florida	Coragyps atratus	A/Black Vulture/Florida/22-010358-003/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			NA
SRR24839087	USA: Florida	Coragyps atratus	A/Black Vulture/Florida/22-010358-002/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			NA
SRR24839088	USA: Florida	Coragyps atratus	A/Black Vulture/Florida/22-010358-001/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			NA
SRR24839089	USA: Florida	Coragyps atratus	A/Black Vulture/Florida/22-010357-001/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			NA
SRR24839090	USA: New York	Gallus gallus	A/Backyard bird/New York/22-010200-002/2022	RT-PCR	VIRAL RNA	Swab\, Oropharyngeal	H5N1			Gallus gallus
SRR24839091	USA: Wisconsin	Anas sp.	A/Backyard bird/Wisconsin/22-010325-003/2022	RT-PCR	VIRAL RNA	Tissue Homogenate	H5N1			NA
SRR24839092	USA: New York	Anas sp.	A/Backyard bird/New York/22-010321-003/2022	RT-PCR	VIRAL RNA	Swab\, Cloacal	H5N1			NA
SRR24839093	USA: New York	Gallus gallus	A/Backyard bird/New York/22-010321-002/2022	RT-PCR	VIRAL RNA	Swab\, Oropharyngeal	H5N1			Gallus gallus
SRR24839094	USA: New York	Gallus gallus	A/Backyard bird/New York/22-010321-001/2022	RT-PCR	VIRAL RNA	Swab\, Oropharyngeal	H5N1			Gallus gallus
SRR24839095	USA: Minnesota	Meleagris gallopavo	A/Turkey/Minnesota/22-010312-001/2022	RT-PCR	VIRAL RNA	swab	H5N1			Meleagris gallopavo
SRR24839096	USA: North Carolina	Gallus gallus	A/Chicken/North Carolina/22-010299-002/2022	RT-PCR	VIRAL RNA	swab	H5N1			Gallus gallus
SRR24839097	USA: North Carolina	Gallus gallus	A/Chicken/North Carolina/22-010298-002/2022	RT-PCR	VIRAL RNA	swab	H5N1			Gallus gallus
SRR24839098	USA: North Carolina	Gallus gallus	A/Chicken/North Carolina/22-010298-001/2022	RT-PCR	VIRAL RNA	swab	H5N1			Gallus gallus
SRR24839099	USA: North Carolina	Spatula clypeata	A/Northern Shoveler/North Carolina/22-003831-019/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			NA
SRR24839100	USA: Missouri	Meleagris gallopavo	A/Turkey/Missouri/22-010296-001/2022	RT-PCR	VIRAL RNA	swab	H5N1			Meleagris gallopavo
SRR24839101	USA: North Dakota	Bubo scandiacus	A/Snowy Owl/North Dakota/22-010240-001/2022	RT-PCR	VIRAL RNA	Swab\, Cloacal	H5N1			NA
SRR24839102	USA: South Dakota	Meleagris gallopavo	A/Turkey/South Dakota/22-010136-002/2022	RT-PCR	VIRAL RNA	swab	H5N1			Meleagris gallopavo
SRR24839103	USA: South Dakota	Meleagris gallopavo	A/Turkey/South Dakota/22-010136-001/2022	RT-PCR	VIRAL RNA	swab	H5N1			Meleagris gallopavo
SRR24839104	USA: South Dakota	Meleagris gallopavo	A/Turkey/South Dakota/22-010135-001/2022	RT-PCR	VIRAL RNA	swab	H5N1			Meleagris gallopavo
SRR24839105	USA: Maine	Anser sp.	A/Backyard bird/Maine/22-010181-002/2022	RT-PCR	VIRAL RNA	swab	H5N1			NA
SRR24839106	USA: Minnesota	Meleagris gallopavo	A/Turkey/Minnesota/22-010085-001/2022	RT-PCR	VIRAL RNA	swab	H5N1			Meleagris gallopavo
SRR24839107	USA: North Dakota	Anser caerulescens	A/Snow Goose/North Dakota/22-010037-005/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			Anser caerulescens
