sample_name	biosample	amikacin_call
ERR2759449	SAMEA104138836	S
ERR2759450	SAMEA104138837	S
ERR2759451	SAMEA104138838	S
ERR2759452	SAMEA104138839	S
ERR2759453	SAMEA104138840	S
ERR2759454	SAMEA104138841	S
ERR2759455	SAMEA104138842	R
ERR2759456	SAMEA104138843	S
ERR2759457	SAMEA104138844	S
ERR2759458	SAMEA104138845	S
ERR2759459	SAMEA104138846	S
ERR2759460	SAMEA104138847	S
ERR2759461	SAMEA104138848	S
ERR2759462	SAMEA104138849	S
ERR2759464	SAMEA104138851	S
ERR2759465	SAMEA104138852	S
ERR2759467	SAMEA104138854	S
ERR2759530	SAMEA104138917	S
ERR119101	SAMEA1317691	R
ERR119095	SAMEA1317692	S
ERR119090	SAMEA1317693	S
ERR119107	SAMEA1317694	S
ERR119099	SAMEA1317696	R
ERR119088	SAMEA1317697	R
ERR119084	SAMEA1317698	R
ERR119096	SAMEA1317699	R
ERR119098	SAMEA1317700	R
ERR119087	SAMEA1317701	R
ERR119092	SAMEA1317702	S
ERR119100	SAMEA1317703	R
ERR119089	SAMEA1317704	R
ERR119106	SAMEA1317705	R
ERR119082	SAMEA1317706	R
ERR119094	SAMEA1317707	S
ERR119108	SAMEA1317708	S
ERR119104	SAMEA1317709	R
ERR119105	SAMEA1317710	R
ERR119091	SAMEA1317711	S
ERR119086	SAMEA1317712	R
ERR119093	SAMEA1317713	S
ERR119085	SAMEA1317714	R
ERR119083	SAMEA1317715	R
ERR119097	SAMEA1317717	S
ERR115018	SAMEA1464830	R
ERR115037	SAMEA1464831	R
ERR115064	SAMEA1464832	R
ERR115044	SAMEA1464833	R
ERR115026	SAMEA1464834	S
ERR115008	SAMEA1464835	S
ERR115086	SAMEA1464836	S
ERR115101	SAMEA1464837	R
ERR114979	SAMEA1464838	S
ERR115106	SAMEA1464839	S
ERR114990	SAMEA1464840	S
ERR114968	SAMEA1464841	S
ERR115038	SAMEA1464842	R
ERR115063	SAMEA1464843	S
ERR115082	SAMEA1464844	R
ERR115027	SAMEA1464845	S
ERR114998	SAMEA1464846	S
ERR115054	SAMEA1464847	S
ERR114977	SAMEA1464849	S
ERR114967	SAMEA1464850	S
ERR115087	SAMEA1464851	R
ERR115065	SAMEA1464852	S
ERR115036	SAMEA1464853	R
ERR115107	SAMEA1464854	R
ERR115045	SAMEA1464855	R
ERR114997	SAMEA1464856	S
ERR115007	SAMEA1464857	S
ERR115102	SAMEA1464858	S
ERR115073	SAMEA1464859	R
ERR115088	SAMEA1464860	R
ERR115055	SAMEA1464861	R
ERR115093	SAMEA1464862	S
ERR114978	SAMEA1464863	S
ERR115028	SAMEA1464864	S
ERR115081	SAMEA1464865	S
ERR114991	SAMEA1464866	S
ERR114992	SAMEA1464867	S
ERR115024	SAMEA1464868	R
ERR115001	SAMEA1464869	S
ERR115108	SAMEA1464870	R
ERR114981	SAMEA1464871	S
ERR115061	SAMEA1464872	S
ERR115066	SAMEA1464873	R
ERR115099	SAMEA1464874	S
ERR115006	SAMEA1464875	R
ERR115046	SAMEA1464876	S
ERR115089	SAMEA1464877	R
ERR115080	SAMEA1464879	R
ERR115098	SAMEA1464880	S
ERR114970	SAMEA1464881	S
ERR115040	SAMEA1464882	S
ERR115100	SAMEA1464883	R
ERR115000	SAMEA1464884	S
ERR115079	SAMEA1464885	S
ERR115062	SAMEA1464886	S
ERR115004	SAMEA1464887	S
ERR114969	SAMEA1464889	R
ERR115039	SAMEA1464890	S
ERR115053	SAMEA1464892	S
ERR115005	SAMEA1464893	S
ERR114980	SAMEA1464894	S
ERR115090	SAMEA1464895	R
ERR115067	SAMEA1464896	R
ERR115019	SAMEA1464897	R
ERR115047	SAMEA1464898	S
ERR115052	SAMEA1464899	S
ERR115078	SAMEA1464900	R
ERR114974	SAMEA1464901	R
ERR115031	SAMEA1464902	S
ERR115105	SAMEA1464903	R
ERR115096	SAMEA1464904	R
ERR114994	SAMEA1464905	R
ERR115003	SAMEA1464906	R
ERR114985	SAMEA1464907	R
ERR115042	SAMEA1464908	R
ERR115068	SAMEA1464909	R
ERR115033	SAMEA1464910	S
ERR114993	SAMEA1464911	R
ERR115058	SAMEA1464912	R
ERR115092	SAMEA1464913	R
ERR115060	SAMEA1464914	R
ERR115012	SAMEA1464915	R
ERR115013	SAMEA1464916	R
ERR115097	SAMEA1464917	R
ERR115022	SAMEA1464918	R
ERR115032	SAMEA1464919	S
ERR115077	SAMEA1464920	S
ERR114973	SAMEA1464921	S
ERR115104	SAMEA1464922	S
ERR114982	SAMEA1464923	S
ERR114986	SAMEA1464924	S
ERR114972	SAMEA1464925	S
ERR115103	SAMEA1464926	S
ERR114971	SAMEA1464927	S
ERR115083	SAMEA1464928	R
ERR115069	SAMEA1464929	R
ERR115023	SAMEA1464930	R
ERR115059	SAMEA1464931	R
ERR115076	SAMEA1464932	R
ERR115091	SAMEA1464933	S
ERR115041	SAMEA1464934	S
ERR115021	SAMEA1464935	R
ERR115051	SAMEA1464936	R
ERR115071	SAMEA1464937	R
ERR114987	SAMEA1464938	R
ERR114996	SAMEA1464939	S
ERR115011	SAMEA1464940	R
ERR115014	SAMEA1464941	S
ERR115035	SAMEA1464942	S
ERR115029	SAMEA1464943	S
ERR114976	SAMEA1464944	S
ERR115056	SAMEA1464945	R
ERR115084	SAMEA1464946	S
ERR115094	SAMEA1464947	R
ERR114983	SAMEA1464948	R
ERR115002	SAMEA1464949	S
ERR115075	SAMEA1464950	R
ERR114966	SAMEA1464951	S
ERR115070	SAMEA1464952	S
ERR115010	SAMEA1464953	R
ERR115050	SAMEA1464954	R
ERR114988	SAMEA1464955	S
ERR114995	SAMEA1464956	S
ERR115034	SAMEA1464957	S
ERR115085	SAMEA1464958	S
ERR115048	SAMEA1464959	R
ERR115043	SAMEA1464960	S
ERR115015	SAMEA1464962	S
ERR115072	SAMEA1464963	R
ERR115049	SAMEA1464964	S
ERR115074	SAMEA1464965	S
ERR115095	SAMEA1464966	S
ERR115057	SAMEA1464967	S
ERR115016	SAMEA1464968	S
ERR114984	SAMEA1464969	S
ERR114989	SAMEA1464970	S
ERR114975	SAMEA1464971	R
ERR115009	SAMEA1464972	S
ERR114965	SAMEA1464973	S
ERR340574	SAMEA1963837	S
ERR349290	SAMEA1963842	S
ERR363470	SAMEA1964284	S
ERR330912	SAMEA1964382	S
ERR343193	SAMEA1964383	S
ERR363377	SAMEA1964489	S
ERR330814	SAMEA1964620	S
ERR330896	SAMEA1965051	S
ERR330769	SAMEA1965061	S
ERR363302	SAMEA1965955	S
ERR363240	SAMEA1966176	S
ERR363375	SAMEA1966274	S
ERR337848	SAMEA1966485	S
ERR363504	SAMEA1966577	S
ERR337803	SAMEA1967286	S
ERR330911	SAMEA1967325	S
ERR337832	SAMEA1967392	S
ERR363416	SAMEA1967818	S
ERR363472	SAMEA1968765	S
ERR369168	SAMEA1968959	R
ERR330864	SAMEA1969055	S
ERR343224	SAMEA1969436	R
ERR337865	SAMEA1969449	S
ERR340553	SAMEA1969770	S
ERR330876	SAMEA1970107	S
ERR340538	SAMEA1970161	S
ERR330863	SAMEA1970807	S
ERR363383	SAMEA1971044	S
ERR330884	SAMEA1971196	S
ERR369165	SAMEA1971262	S
ERR369149	SAMEA1971359	S
ERR343182	SAMEA1971773	S
ERR363462	SAMEA1972218	S
ERR349293	SAMEA1973117	S
ERR373963	SAMEA1973430	S
ERR337819	SAMEA1973540	S
ERR330777	SAMEA1973559	S
ERR374022	SAMEA1973616	S
ERR363250	SAMEA1973643	S
ERR330866	SAMEA2068664	S
ERR330869	SAMEA2068665	S
ERR330872	SAMEA2068666	S
ERR330875	SAMEA2068667	S
ERR330878	SAMEA2068668	S
ERR330881	SAMEA2068669	S
ERR330887	SAMEA2068670	S
ERR330890	SAMEA2068671	S
ERR330893	SAMEA2068672	S
ERR330899	SAMEA2068673	S
ERR330902	SAMEA2068674	S
ERR330905	SAMEA2068675	S
ERR330908	SAMEA2068676	S
ERR330914	SAMEA2068677	S
ERR330917	SAMEA2068678	S
ERR330920	SAMEA2068679	S
ERR337825	SAMEA2068681	S
ERR337828	SAMEA2068682	S
ERR337831	SAMEA2068683	S
ERR340568	SAMEA2068740	R
ERR340571	SAMEA2068741	S
ERR337834	SAMEA2068793	S
