sample_name	assembly_fullid_updated	yhmpu50000	order	species	carbon_class	nitrogen_class	galactose_normalized	fructose_normalized	glycerol_normalized	maltose_normalized	at_25_c	c1_d.glucose	n4_l.lysine	c23_glycerol	n5_cadaverine	c28_d.glucitol	n3_ethylamine	at_30_c	c29_d.mannitol	ethanol__assimilation	d.glucose__fermentation	c39_succinate	c12_a_a.trehalose	c6_d.xylose	c32_d.glucono.1_5.lactone	c2_d.galactose	c10_sucrose	c14_cellobiose	c15_salicin	c11_maltose	c25_ribitol	c40_citrate	c26_xylitol	c35_d.gluconate	c16_arbutin	c3_l.sorbose	at_35_c	c20_melezitose	c13_me_a.d.glucoside	environment_edited	super_domain_entity	super_independent_entity	super_plant	super_embryophyta_plant_type	super_vascular_plant_type	super_seed_producing_plant_type	super_animal	super_angiosperm_plant_type	super_arthropoda_animal_type	super_hexapoda_animal_type	super_insecta_animal_type
SRR16974325	yHMPu5000035005_lodderomyces_elongisporus_160519.haplomerger2	35005	Serinales	Lodderomyces elongisporus	Standard	Standard	0.435431428127031	0.315799798031099	0.167524024700979	0.349101482597635	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	No	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	concentrated orange juice	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16974357	yHMPu5000034659_debaryomyces_hansenii_180604	34659	Serinales	Debaryomyces hansenii	Generalist	Standard	0.724051566614842	0.67593800852725	0	0.718336386665392	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	No	No	Yes	Yes	deposited in the CBS Collection and had been received the Carlsberg Laboratory	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR16974273	yHMPu5000034723_candida_glabrata_180604	34723	Saccharomycetales	Nakaseomyces glabratus	Specialist	Specialist	0	0	0	0	Yes	Yes	Yes	Yes	No	No	No	NA	No	Yes	Yes	No	Yes	No	Yes	No	No	No	No	No	No	No	No	Yes	No	No	NA	No	No	faeces of Man	Yes	Yes	No	No	No	No	Yes	No	No	No	No
SRR16988846	yHMPu5000040963_lachancea_quebecuensis_200128	40963	Saccharomycetales	Lachancea quebecensis	Standard	Standard	0.796625481582616	0.250869254867141	0	0.496101424215727	Yes	NA	NA	Yes	NA	NA	NA	Yes	NA	Yes	NA	NA	Yes	Yes	NA	Yes	Yes	NA	NA	Yes	NA	NA	NA	NA	NA	Yes	Yes	Yes	NA	maple tree bark	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	No
SRR16988934	yHMPu5000035666_nakaseomyces_bacillisporus_160613	35666	Saccharomycetales	Nakaseomyces bacillisporus	Standard	Standard	0	0.326155673685185	0.106777104702244	0	Yes	Yes	No	Yes	No	No	No	Yes	No	No	Yes	No	Yes	No	Yes	No	Yes	No	No	No	No	No	No	Yes	No	No	Yes	No	No	exudate of Quercus emoryi (Emory oak)	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	No
SRR16974372	yHMPu5000026127_nakaseomyces_delphensis_160519	26127	Saccharomycetales	Nakaseomyces delphensis	Specialist	Specialist	0	0.263738957421553	0	0	Yes	Yes	No	Yes	No	No	No	Yes	No	Yes	Yes	No	No	No	Yes	No	No	No	No	No	No	No	No	Yes	No	No	Yes	No	No	sugary deposit on dried figs	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16974277	yHMPu5000034720_candida_nivariensis_180604	34720	Saccharomycetales	Nakaseomyces nivariensis	Specialist	Specialist	0	0.552170311638948	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	blood culture of a 69-year-old Spanish woman presenting with biliary pancreatitis and renal failure	No	No	No	No	No	No	No	No	No	No	No
SRR16974271	yHMPu5000034725_candida_bracarensis_160928	34725	Saccharomycetales	Nakaseomyces bracarensis	Specialist	Specialist	0	0.234835368124193	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	case of vaginal candidiasis	Yes	Yes	No	No	No	No	Yes	No	No	No	No
SRR16974272	yHMPu5000034724_candida_castellii_180604	34724	Saccharomycetales	Nakaseomyces castellii	Specialist	Standard	0	19.7505619960968	6.77983264884043	0	Yes	Yes	Yes	Yes	No	No	No	Yes	No	Yes	Yes	No	No	No	Yes	No	No	No	No	No	No	No	No	Yes	No	No	Yes	No	No	soil	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16974707	yHMPu5000034863_zygosaccharomyces_rouxii_180604	34863	Saccharomycetales	Zygosaccharomyces rouxii	Specialist	Standard	0	0.618182024438007	0	0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NA	Yes	No	Yes	No	No	No	Yes	Yes	Yes	No	No	Yes	No	No	No	Yes	No	No	NA	No	No	concentrated black-grape must	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16974309	yHMPu5000034678_lachancea_thermotolerans_180604	34678	Saccharomycetales	Lachancea thermotolerans	Standard	Standard	0	0.116652027813306	0.0457538937822566	0.115040621926208	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	No	No	Yes	No	No	Yes	No	No	Yes	Yes	Yes	Yes	mirabelle-plum conserve	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16974293	yHMPu5000034695_lachancea_fermentati_201018	34695	Saccharomycetales	Lachancea fermentati	Standard	Standard	0.253213283905534	0.163136298232109	0	0.569234758353323	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No	Yes	No	Yes	Yes	Yes	Yes	Yes	sediment of peppermint	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16974392	yHAB137_kazachstania_africana_160519	yHAB137	Saccharomycetales	Kazachstania africana	NA	NA	NA	NA	NA	NA	Yes	Yes	No	No	No	No	No	Yes	No	No	Yes	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	No	Yes	No	No	soil	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16974698	yHMPu5000034871_naumovozyma_castellii_180604	34871	Saccharomycetales	Naumovozyma castellii	Specialist	Specialist	0.650900223052413	0	0	0	Yes	Yes	No	No	No	No	No	NA	No	Yes	Yes	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	No	NA	No	No	soil	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16974697	yHMPu5000034872_naumovozyma_dairenensis_180604	34872	Saccharomycetales	Naumovozyma dairenensis	NA	NA	NA	NA	NA	NA	Yes	Yes	No	No	No	No	No	NA	No	No	Yes	No	Yes	No	Yes	Yes	No	No	No	No	No	No	No	No	No	No	NA	No	No	dry fruit of Diospyros sp. (persimmon)	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	No
SRR16974695	yHMPu5000034874_tetrapisispora_blattae_190924	34874	Saccharomycetales	Tetrapisispora blattae	NA	NA	NA	NA	NA	NA	Yes	Yes	No	Yes	No	No	No	Yes	No	Yes	Yes	No	No	No	Yes	Yes	No	No	No	No	No	No	No	No	No	No	Yes	No	No	gut of Blatta orientalis (cockroach)	Yes	Yes	No	No	No	No	Yes	No	Yes	Yes	Yes
SRR16974245	yHMPu5000034580_tetrapisispora_phaffii_180604	34580	Saccharomycetales	Tetrapisispora phaffii	Specialist	Specialist	0.743272636248059	0	0.315742560679619	0	Yes	Yes	No	Yes	No	No	No	Yes	No	No	Yes	No	Yes	No	Yes	Yes	No	No	No	No	No	No	No	Yes	No	No	Yes	No	No	uncultivated surface soil	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16988980	yHMPu5000035653_torulaspora_delbrueckii_160613	35653	Saccharomycetales	Torulaspora delbrueckii	Specialist	Standard	0.835629492033672	0.372312744538528	0	0	Yes	Yes	Yes	Yes	No	Yes	No	NA	Yes	Yes	Yes	No	Yes	No	Yes	Yes	No	No	No	No	No	No	No	Yes	No	Yes	NA	No	No	uncertain origin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
