sample_name	assembly	species	X_FC_resistance	Fluconazole_resistance	Itraconazole_resistance	Voriconazole_resistance	Posaconazole_resistance	Terbinafin_resistance	Caspofungi_resistance	Amphotericin_B_resistance	Total Drug Res	Order	Dipodascales_Fluconazole_resistance	Phaffomycetales_Fluconazole_resistance	Pichiales_Fluconazole_resistance	Saccharomycetales_Fluconazole_resistance	Serinales_Fluconazole_resistance
SRR16974325	yHMPu5000035005_lodderomyces_elongisporus_160519.haplomerger2	Lodderomyces_elongisporus_CBS2605	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16974357	yHMPu5000034659_debaryomyces_hansenii_180604	Debaryomyces_hansenii_CBS767	NR	R	NR	R	NR	NR	NR	R	3	Serinales	NA	NA	NA	NA	Serinales_R
SRR16974273	yHMPu5000034723_candida_glabrata_180604	Candida_glabrata_CBS138	NR	NR	NR	NR	NR	R	NR	NR	1	Saccharomycetales	NA	NA	NA	Saccharomycetales_NR	NA
SRR16988934	yHMPu5000035666_nakaseomyces_bacillisporus_160613	Nakaseomyces_bacillisporus_CBS7720	NR	R	NR	R	NR	R	NR	NR	3	Saccharomycetales	NA	NA	NA	Saccharomycetales_R	NA
SRR16974372	yHMPu5000026127_nakaseomyces_delphensis_160519	Nakaseomyces_delphensis_CBS2170	NR	R	NR	R	R	NR	NR	NR	3	Saccharomycetales	NA	NA	NA	Saccharomycetales_R	NA
SRR16974272	yHMPu5000034724_candida_castellii_180604	Candida_castellii_CBS4332	NR	R	NR	NR	NR	NR	NR	NR	1	Saccharomycetales	NA	NA	NA	Saccharomycetales_R	NA
SRR16974707	yHMPu5000034863_zygosaccharomyces_rouxii_180604	Zygosaccharomyces_rouxii_CBS732	NR	R	R	R	R	NR	NR	NR	4	Saccharomycetales	NA	NA	NA	Saccharomycetales_R	NA
SRR16974309	yHMPu5000034678_lachancea_thermotolerans_180604	Lachancea_thermotolerans_CBS6340	NR	NR	NR	NR	NR	NR	NR	NR	0	Saccharomycetales	NA	NA	NA	Saccharomycetales_NR	NA
SRR16974293	yHMPu5000034695_lachancea_fermentati_201018	Lachancea_fermentati_CBS707	NR	R	NR	NR	NR	NR	NR	NR	1	Saccharomycetales	NA	NA	NA	Saccharomycetales_R	NA
SRR16974392	yHAB137_kazachstania_africana_160519	Kazachstania_africana_CBS2517	NR	NR	NR	NR	NR	NR	NR	NR	0	Saccharomycetales	NA	NA	NA	Saccharomycetales_NR	NA
SRR16974698	yHMPu5000034871_naumovozyma_castellii_180604	Naumovozyma_castellii_CBS4309	NR	R	NR	NR	NR	NR	NR	NR	1	Saccharomycetales	NA	NA	NA	Saccharomycetales_R	NA
SRR16974697	yHMPu5000034872_naumovozyma_dairenensis_180604	Naumovozyma_dairenensis_CBS421	NR	R	R	R	R	R	NR	NR	5	Saccharomycetales	NA	NA	NA	Saccharomycetales_R	NA
SRR16974695	yHMPu5000034874_tetrapisispora_blattae_190924	Tetrapisispora_blattae_CBS6284	NR	R	NR	R	R	NR	NR	NR	3	Saccharomycetales	NA	NA	NA	Saccharomycetales_R	NA
SRR16974245	yHMPu5000034580_tetrapisispora_phaffii_180604	Tetrapisispora_phaffii_CBS4417	NR	NR	NR	NR	NR	NR	NR	NR	0	Saccharomycetales	NA	NA	NA	Saccharomycetales_NR	NA
SRR16988980	yHMPu5000035653_torulaspora_delbrueckii_160613	Torulaspora_delbrueckii_CBS1146	NR	R	NR	NR	NR	NR	NR	NR	1	Saccharomycetales	NA	NA	NA	Saccharomycetales_R	NA
SRR16974617	yHMPu5000035043_babjeviella_inositovora_180604	Babjeviella_inositovora_CBS8006	NR	NR	NR	NR	NR	NR	NR	R	1	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16974405	yHMPu5000034976_dekkera_anomala_160519.haplomerger2	Brettanomyces_anomalus_CBS8139	NR	R	NR	NR	NR	NR	R	NR	2	Pichiales	NA	NA	Pichiales_R	NA	NA
