sample_name	reference	strain	sampleacc	studyaccession	species	species_match	virulence_score	resistance_score	num_resistance_classes	num_resistance_genes	date	strain2	main_st	neonate	major_wards	amikacin_30	ampicillin_10	ampicillin_2	augmentin_30	cefoxitin_10_(clox)	cefoxitin_30	cefpodoxime_10	cefpodoxime_10_(ceftriaxone)	ceftazidime	ceftriaxone_30	ceftriaxone_5	chloramphenicol_10	chloramphenicol_30	ciprofloxacin_(e-test)	ciprofloxacin_5	co-trimoxazole_25	cotrimoxazole_25	erythromycin_15	erythromycin_5	gentamicin_10	gentamicin10	meropenem	meropenem_10	oxacillin_1_(pen)	pefloxacin_5	penicillin_1	piperacillin/_tazobactam(ptz)	piperacillin/tazobactam_36	quinupristin/dalfopristin_(qd15)	tetracycline_10	tetracycline_30	vancomycin_5
ERR926371	Musicha et al	15966_8#21	ERS668986	ERP009326	Klebsiella pneumoniae	strong	0	0	0	0	2013	NA	other	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR926407	Musicha et al	15966_8#57	ERS669023	ERP009326	Klebsiella pneumoniae	strong	3	0	6	8	1997	NA	ST14	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR926436	Musicha et al	15966_8#86	ERS669059	ERP009326	Klebsiella pneumoniae	strong	1	0	5	10	2012	NA	ST37	n	PAEDIATRIC MOYO WARD	NA	R	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	S	NA	S	NA	R	NA	NA	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR926437	Musicha et al	15966_8#87	ERS669060	ERP009326	Klebsiella pneumoniae	strong	3	0	6	9	1996	NA	ST17	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR926438	Musicha et al	15966_8#88	ERS669061	ERP009326	Klebsiella variicola subsp. variicola	strong	0	0	0	0	1999	NA	other	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR926439	Musicha et al	15966_8#89	ERS669062	ERP009326	Klebsiella pneumoniae	strong	0	0	3	3	2011	NA	other	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR926443	Musicha et al	15966_8#93	ERS669066	ERP009326	Klebsiella pneumoniae	strong	0	1	1	1	2012	NA	other	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR971957	Musicha et al	16228_1#11	ERS669081	ERP009326	Klebsiella quasipneumoniae subsp. similipneumoniae	strong	0	0	6	7	2009	NA	other	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR971959	Musicha et al	16228_1#13	ERS669084	ERP009326	Klebsiella pneumoniae	strong	3	0	6	8	2004	NA	ST14	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR971960	Musicha et al	16228_1#14	ERS669085	ERP009326	Klebsiella pneumoniae	strong	3	0	5	7	1997	NA	ST48	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR971961	Musicha et al	16228_1#15	ERS669086	ERP009326	Klebsiella pneumoniae	strong	0	0	6	7	1998	NA	other	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR971964	Musicha et al	16228_1#18	ERS669090	ERP009326	Klebsiella pneumoniae	strong	0	0	6	10	1998	NA	other	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR971965	Musicha et al	16228_1#19	ERS669099	ERP009326	Klebsiella pneumoniae	strong	1	0	5	6	2005	NA	ST45	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR971967	Musicha et al	16228_1#21	ERS669103	ERP009326	Klebsiella pneumoniae	strong	0	0	6	9	2007	NA	other	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR971972	Musicha et al	16228_1#26	ERS669116	ERP009326	Klebsiella pneumoniae	strong	0	1	8	19	2008	NA	other	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR971974	Musicha et al	16228_1#28	ERS669120	ERP009326	Klebsiella pneumoniae	strong	1	1	6	8	2009	NA	other	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR971975	Musicha et al	16228_1#29	ERS669123	ERP009326	Klebsiella pneumoniae	strong	0	1	7	13	2009	NA	other	n	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
